,Date,Time,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Referee,Sh,SoT,Dist,FK,PK,PKatt,Team,Opp,Hour,Day,GF_rolling,GA_rolling,xG_rolling,xGA_rolling,Poss_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
0,2024-08-24,17:30,0,1,2.0,0.0,1,0.9,1.2,60.0,11,9.0,4.0,18.8,0.0,0,0,0,1,17,5,2.0,0.0,1.2,0.5,53.0,18.0,6.0,17.3,0.0,0.0,0.0
1,2024-08-31,12:30,1,0,1.0,1.0,4,2.1,1.7,36.0,2,11.0,7.0,12.9,0.0,0,0,0,4,12,5,2.0,0.0,1.05,0.85,56.5,13.5,5.0,18.05,0.0,0.0,0.0
2,2024-09-15,14:00,0,1,1.0,0.0,17,0.7,0.7,37.0,7,7.0,4.0,12.1,0.0,0,0,0,17,14,6,1.6666666666666667,0.3333333333333333,1.4000000000000001,1.1333333333333333,49.666666666666664,12.666666666666666,5.666666666666667,16.333333333333332,0.0,0.0,0.0
3,2024-09-22,16:30,0,0,2.0,2.0,12,0.7,2.1,23.0,11,5.0,3.0,11.3,0.0,0,0,0,12,16,6,1.3333333333333333,0.3333333333333333,1.2333333333333334,1.2,44.333333333333336,9.0,5.0,14.6,0.0,0.0,0.0
4,2024-09-28,15:00,1,1,4.0,2.0,10,4.4,0.3,74.0,16,35.0,16.0,14.1,0.0,0,0,0,10,15,5,1.3333333333333333,1.0,1.1666666666666667,1.5,32.0,7.666666666666667,4.666666666666667,12.1,0.0,0.0,0.0
5,2024-10-05,15:00,1,1,3.0,1.0,16,2.8,0.6,59.0,21,29.0,6.0,14.6,0.0,0,0,0,16,15,5,2.3333333333333335,1.3333333333333333,1.9333333333333336,1.0333333333333334,44.666666666666664,15.666666666666666,7.666666666666667,12.5,0.0,0.0,0.0
6,2024-10-19,17:30,0,0,0.0,2.0,2,0.7,1.8,51.0,14,6.0,1.0,15.1,0.0,0,0,0,2,17,5,3.0,1.6666666666666667,2.6333333333333333,1.0000000000000002,52.0,23.0,8.333333333333334,13.333333333333334,0.0,0.0,0.0
7,2024-10-27,16:30,1,0,2.0,2.0,11,0.9,0.8,45.0,1,9.0,3.0,14.1,0.0,0,0,0,11,16,6,2.3333333333333335,1.6666666666666667,2.6333333333333337,0.9,61.333333333333336,23.333333333333332,7.666666666666667,14.6,0.0,0.0,0.0
8,2024-11-02,12:30,0,0,0.0,1.0,14,1.1,0.5,63.0,8,10.0,0.0,14.9,0.0,0,0,0,14,12,5,1.6666666666666667,1.6666666666666667,1.4666666666666668,1.0666666666666667,51.666666666666664,14.666666666666666,3.3333333333333335,14.6,0.0,0.0,0.0
9,2024-11-10,16:30,0,0,1.0,1.0,5,1.5,1.5,51.0,11,13.0,3.0,16.3,0.0,0,0,0,5,16,6,0.6666666666666666,1.6666666666666667,0.9000000000000004,1.0333333333333334,53.0,8.333333333333334,1.3333333333333333,14.700000000000001,0.0,0.0,0.0
10,2024-11-23,15:00,1,1,3.0,0.0,15,1.2,0.3,66.0,17,19.0,6.0,17.7,0.0,0,0,0,15,15,5,1.0,1.3333333333333333,1.166666666666667,0.9333333333333332,53.0,10.666666666666666,2.0,15.1,0.0,0.0,0.0
11,2024-11-30,17:30,0,1,5.0,2.0,18,3.5,1.5,60.0,1,14.0,5.0,15.4,1.0,2,2,0,18,17,5,1.3333333333333333,0.6666666666666666,1.2666666666666668,0.7666666666666666,60.0,14.0,3.0,16.3,0.0,0.0,0.0
