,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Date,Team
0,Darwin Núñez,9.0,uy URU,FW,25-131,76,0,0,0,0,1,1,0,0,19,0,1,1,0.1,0.1,0.2,3,0,6,10,60.0,2,12,1,3,2,2024-11-2,Liverpool
1,Wataru Endo,3.0,jp JPN,DM,31-267,14,0,0,0,0,0,0,0,0,10,3,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,4,0,0,0,2024-11-2,Liverpool
2,Cody Gakpo,18.0,nl NED,"LW,FW",25-179,90,1,0,0,0,3,1,0,0,36,1,0,1,0.1,0.1,0.0,3,0,20,25,80.0,3,27,4,1,1,2024-11-2,Liverpool
3,Mohamed Salah,11.0,eg EGY,RW,32-140,89,1,0,0,0,3,2,0,0,29,0,0,0,0.5,0.5,0.2,3,0,14,22,63.6,3,23,5,2,1,2024-11-2,Liverpool
4,Conor Bradley,84.0,nir NIR,RW,21-116,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,2024-11-2,Liverpool
5,Dominik Szoboszlai,8.0,hu HUN,AM,24-008,65,0,0,0,0,0,0,0,0,35,1,1,1,0.0,0.0,0.0,3,0,28,31,90.3,4,13,0,1,1,2024-11-2,Liverpool
6,Luis Díaz,7.0,co COL,"LW,AM",27-294,25,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,3,1,10,10,100.0,1,9,1,3,0,2024-11-2,Liverpool
7,Alexis Mac Allister,10.0,ar ARG,DM,25-314,65,0,0,0,0,1,1,1,0,48,3,1,1,0.0,0.0,0.0,1,0,27,38,71.1,2,23,1,3,1,2024-11-2,Liverpool
8,Curtis Jones,17.0,eng ENG,"AM,DM",23-277,25,0,1,0,0,2,0,0,0,16,0,0,1,0.2,0.2,0.1,1,1,10,10,100.0,1,8,2,0,0,2024-11-2,Liverpool
9,Ryan Gravenberch,38.0,nl NED,DM,22-170,90,0,0,0,0,1,0,0,0,54,1,4,3,0.0,0.0,0.0,2,1,33,41,80.5,4,27,1,0,0,2024-11-2,Liverpool
10,Kostas Tsimikas,21.0,gr GRE,LB,28-174,90,0,0,0,0,1,1,0,0,79,7,0,1,0.0,0.0,0.5,3,0,56,67,83.6,8,34,0,1,1,2024-11-2,Liverpool
11,Virgil van Dijk,4.0,nl NED,CB,33-117,90,0,1,0,0,0,0,0,0,91,1,1,1,0.0,0.0,0.0,2,1,74,84,88.1,3,51,0,0,0,2024-11-2,Liverpool
12,Ibrahima Konaté,5.0,fr FRA,CB,25-161,45,0,0,0,0,2,0,0,0,35,1,0,0,0.3,0.3,0.0,1,0,25,28,89.3,1,20,1,0,0,2024-11-2,Liverpool
13,Joe Gomez,2.0,eng ENG,CB,27-163,45,0,0,0,0,2,2,0,0,32,1,0,2,0.3,0.3,0.0,0,0,22,25,88.0,0,16,0,0,0,2024-11-2,Liverpool
14,Trent Alexander-Arnold,66.0,eng ENG,RB,26-026,90,0,0,0,0,0,0,0,0,72,9,2,0,0.0,0.0,0.2,4,0,35,58,60.3,5,23,1,2,1,2024-11-2,Liverpool
15,Caoimhín Kelleher,62.0,ie IRL,GK,25-345,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,1,0,22,27,81.5,0,24,0,0,0,2024-11-2,Liverpool
16,16 Players,,,,,990,2,2,0,0,16,8,1,0,602,28,10,12,1.6,1.6,1.3,30,4,389,483,80.5,37,315,17,16,8,2024-11-2,Liverpool
17,Diogo Jota,20.0,pt POR,FW,27-265,71,0,1,0,0,4,0,0,0,22,1,0,0,0.6,0.6,0.7,3,1,13,15,86.7,1,16,2,1,0,2024-8-25,Liverpool
18,Darwin Núñez,9.0,uy URU,FW,25-062,19,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,4,0,0,0,2024-8-25,Liverpool
19,Luis Díaz,7.0,co COL,LW,27-225,71,1,1,0,0,3,2,0,0,37,3,0,0,0.7,0.7,0.7,7,1,28,28,100.0,4,29,3,6,1,2024-8-25,Liverpool
20,Cody Gakpo,18.0,nl NED,LW,25-110,19,0,0,0,0,1,0,0,0,10,1,0,0,0.0,0.0,0.0,1,0,6,8,75.0,1,8,0,1,1,2024-8-25,Liverpool
